localite,annee,mois,dni
gin_conakry_kaloum,2007,5,2.6653
gin_conakry_kaloum,2007,6,3.0129
gin_conakry_kaloum,2007,7,2.2283
gin_conakry_kaloum,2007,8,1.9053
gin_conakry_kaloum,2007,9,2.9705
gin_conakry_kaloum,2007,10,4.284
gin_conakry_kaloum,2007,11,4.5385
gin_conakry_kaloum,2007,12,5.5147
gin_conakry_kaloum,2008,1,4.8486
gin_conakry_kaloum,2008,2,4.4963
gin_conakry_kaloum,2008,3,4.2126
gin_conakry_kaloum,2008,4,2.607
gin_conakry_kaloum,2008,5,2.6084
gin_conakry_kaloum,2008,6,3.1757
gin_conakry_kaloum,2008,7,2.8329
gin_conakry_kaloum,2008,8,2.2305
gin_conakry_kaloum,2008,9,3.2516
gin_conakry_kaloum,2008,10,4.0641
gin_conakry_kaloum,2008,11,4.9807
gin_conakry_kaloum,2008,12,4.5743
gin_conakry_kaloum,2009,1,4.4119
gin_conakry_kaloum,2009,2,4.994
