localite,annee,mois,ghi,dni,dhi,kt,albedo,t2m,rh2m,vent_2m,vent_10m
gin_beyla,2009,6,5.0815,2.2834,2.7055,0.5,0.14,23.14,88.2,1.41,2.24
gin_beyla,2009,7,4.5199,1.7902,2.5154,0.45,0.15,22.7,87.6,1.47,2.31
gin_beyla,2009,8,4.355,1.3771,2.5418,0.42,0.14,22.23,91.21,1.82,2.82
gin_beyla,2009,9,5.0203,2.1847,2.6282,0.49,0.14,22.75,89.5,1.49,2.37
gin_beyla,2009,10,5.2334,2.7996,2.6316,0.53,0.18,23.26,86.28,1.26,2.02
gin_beyla,2009,11,5.1833,3.8009,2.2037,0.56,0.12,22.2,77.96,1.43,2.34
gin_beyla,2009,12,5.3844,4.4933,2.1439,0.61,0.1,21.3,62.97,1.7,2.82
gin_beyla,2010,1,5.6988,4.9066,2.1067,0.63,0.09,21.65,52.42,1.8,3.01
gin_beyla,2010,2,5.5992,3.8587,2.3789,0.58,0.1,23.67,66.19,1.41,2.31
gin_beyla,2010,3,5.0326,2.0047,2.7492,0.49,0.11,24.71,78.78,1.27,2.01
gin_beyla,2010,4,5.1929,2.2714,2.7751,0.5,0.13,25.02,82.52,1.35,2.14
gin_beyla,2010,5,5.3064,2.3657,2.82,0.52,0.12,24.49,85.88,1.2,1.93
gin_beyla,2010,6,5.0736,2.0734,2.7746,0.5,0.13,23.66,85.7,1.36,2.16
gin_beyla,2010,7,4.6428,1.7714,2.6398,0.46,0.16,22.49,88.59,1.76,2.75
gin_beyla,2010,8,4.4762,1.7126,2.4919,0.43,0.15,22.27,90.55,1.89,2.95
gin_beyla,2010,9,4.8094,1.9507,2.6558,0.47,0.15,22.32,90.37,1.68,2.64
gin_beyla,2010,10,4.8934,2.538,2.5133,0.5,0.15,22.73,89.02,1.37,2.2
gin_beyla,2010,11,5.1703,3.636,2.2886,0.56,0.13,22.72,83.25,1.46,2.4
gin_beyla,2010,12,5.0508,3.9403,2.1614,0.57,0.1,21.82,68.3,1.4,2.31
gin_beyla,2011,1,5.2166,3.409,2.5663,0.58,0.08,20.88,66.09,1.61,2.68
gin_beyla,2011,2,5.7926,4.1986,2.3791,0.6,0.11,22.97,65.96,1.67,2.66
gin_beyla,2011,3,5.6482,3.2573,2.6186,0.55,0.11,24.18,80.47,1.3,2.07
gin_beyla,2011,4,5.5802,2.8714,2.7881,0.53,0.13,24.23,80.53,1.32,2.12
gin_beyla,2011,5,5.4322,2.6635,2.7235,0.53,0.13,23.96,86.6,1.23,2.0
gin_beyla,2011,6,4.6642,1.8341,2.6105,0.46,0.13,23.58,86.06,1.26,2.03
gin_beyla,2011,7,4.4638,1.5938,2.5296,0.44,0.14,22.65,87.06,1.48,2.33
gin_beyla,2011,8,4.5022,1.6387,2.5438,0.44,0.14,22.37,88.55,1.82,2.84
gin_beyla,2011,9,5.0215,2.2874,2.5872,0.49,0.16,22.73,87.62,1.43,2.28
gin_beyla,2011,10,5.2702,2.9004,2.5591,0.54,0.12,23.0,85.77,1.4,2.28
gin_beyla,2011,11,5.172,3.8664,2.1715,0.56,0.12,23.52,80.13,1.11,1.81
gin_beyla,2011,12,5.4677,4.4028,2.2819,0.62,0.09,21.19,55.68,1.47,2.48
gin_beyla,2012,1,5.8937,5.0446,2.2565,0.65,0.1,22.15,48.04,1.74,2.89
gin_beyla,2012,2,5.1125,2.8942,2.5699,0.53,0.1,23.99,55.41,1.9,2.94
gin_beyla,2012,3,5.4228,2.4086,2.9575,0.53,0.1,26.56,58.69,1.66,2.54
gin_beyla,2012,4,5.489,2.7156,2.7151,0.52,0.12,25.93,69.35,1.69,2.53
gin_beyla,2012,5,5.2918,2.5358,2.6995,0.51,0.13,24.17,82.84,1.5,2.32
gin_beyla,2012,6,4.7964,1.8936,2.669,0.47,0.13,23.31,84.0,1.5,2.35
gin_beyla,2012,7,4.3512,1.637,2.4722,0.43,0.14,21.97,89.25,1.9,2.94
gin_beyla,2012,8,4.5298,1.8406,2.465,0.44,0.14,22.22,88.96,1.99,3.07
gin_beyla,2012,9,4.675,2.0945,2.472,0.46,0.15,22.41,88.34,1.61,2.53
gin_beyla,2012,10,5.1624,2.7161,2.5894,0.53,0.14,22.77,87.22,1.28,2.1
gin_beyla,2012,11,5.0837,3.6247,2.2466,0.55,0.13,23.28,83.66,1.27,2.06
gin_beyla,2012,12,5.3683,4.5487,2.0669,0.61,0.11,21.0,65.66,1.75,2.92
gin_beyla,2013,1,5.8493,5.0239,2.2176,0.64,0.1,21.29,54.72,1.97,3.29
gin_beyla,2013,2,5.6566,3.8933,2.4708,0.58,0.1,24.02,59.01,1.64,2.6
gin_beyla,2013,3,5.6484,3.5506,2.4886,0.55,0.12,24.89,78.17,1.53,2.35
gin_beyla,2013,4,5.8675,3.2628,2.7259,0.56,0.13,25.62,75.78,1.56,2.39
gin_beyla,2013,5,5.3844,2.6035,2.7902,0.52,0.14,24.05,84.07,1.39,2.21
gin_beyla,2013,6,4.9409,2.1641,2.6563,0.49,0.14,24.1,80.82,1.65,2.54
gin_beyla,2013,7,4.6798,2.1761,2.4533,0.46,0.12,22.72,85.85,1.65,2.55
gin_beyla,2013,8,4.4309,1.5406,2.5608,0.43,0.16,22.11,87.76,1.98,3.04
gin_beyla,2013,9,5.0249,2.2517,2.6244,0.49,0.14,22.83,87.93,1.5,2.38
gin_beyla,2013,10,5.2534,2.8603,2.591,0.53,0.14,23.01,85.91,1.27,2.08
gin_beyla,2013,11,5.3681,4.219,2.1533,0.58,0.13,22.92,77.41,1.24,2.04
gin_beyla,2013,12,5.4082,4.7947,1.9807,0.61,0.11,21.47,63.65,1.65,2.79
gin_beyla,2014,1,5.3182,4.0277,2.257,0.59,0.09,23.36,61.25,1.62,2.57
gin_beyla,2014,2,5.7192,3.8806,2.5543,0.59,0.1,24.29,57.0,1.71,2.64
gin_beyla,2014,3,5.6558,2.9921,2.8238,0.55,0.1,24.96,65.76,1.79,2.73
gin_beyla,2014,4,5.7067,3.2878,2.6431,0.55,0.13,24.18,84.72,1.39,2.18
gin_beyla,2014,5,5.3434,2.4746,2.736,0.52,0.14,23.73,87.18,1.42,2.24
gin_beyla,2014,6,4.969,2.0969,2.6986,0.49,0.14,23.54,87.79,1.26,2.03
gin_beyla,2014,7,4.8958,2.0986,2.6604,0.48,0.15,22.75,88.77,1.7,2.64
gin_beyla,2014,8,4.4326,1.5108,2.5579,0.43,0.14,21.95,90.04,1.7,2.68
gin_beyla,2014,9,4.9027,2.1139,2.6117,0.48,0.15,22.4,89.07,1.46,2.33
gin_beyla,2014,10,5.4475,3.3626,2.4979,0.55,0.15,23.18,85.24,1.21,1.96
gin_beyla,2014,11,4.9774,3.3022,2.2862,0.54,0.13,23.09,82.0,1.14,1.85
gin_beyla,2014,12,5.527,4.8173,2.0933,0.63,0.1,20.55,65.81,1.78,3.02
gin_beyla,2015,1,5.4511,3.7097,2.5858,0.6,0.09,20.69,53.24,1.74,2.86
gin_beyla,2015,2,5.5954,4.0123,2.357,0.57,0.11,23.53,71.0,1.5,2.38
gin_beyla,2015,3,5.8073,3.4008,2.7055,0.56,0.11,24.23,66.93,1.56,2.44
gin_beyla,2015,4,5.5963,2.2661,3.0187,0.53,0.12,24.26,82.25,1.3,2.08
gin_beyla,2015,5,5.5836,2.7137,2.7814,0.54,0.13,23.89,86.9,1.3,2.1
gin_beyla,2015,6,4.8854,1.7628,2.8104,0.48,0.12,23.27,88.25,1.43,2.27
gin_beyla,2015,7,4.907,2.0854,2.6935,0.48,0.16,22.85,88.46,1.63,2.54
