localite,date,ghi,dni
gin_kankan,2023-04-22,7.1928,6.9157
gin_kankan,2023-04-23,6.9334,5.7135
gin_kankan,2023-04-24,6.7912,5.7638
gin_kankan,2023-04-25,6.4226,5.0912
gin_kankan,2023-04-26,5.3641,2.8277
gin_kankan,2023-04-27,6.8181,6.0053
gin_kankan,2023-04-28,6.885,5.9307
gin_kankan,2023-04-29,6.7244,5.3723
gin_kankan,2023-04-30,5.326,2.2658
gin_kankan,2023-05-01,6.231,4.3326
gin_kankan,2023-05-02,6.7581,4.7934
gin_kankan,2023-05-03,6.7864,5.2143
gin_kankan,2023-05-04,3.1219,1.4259
gin_kankan,2023-05-05,5.2516,3.041
gin_kankan,2023-05-06,7.0304,5.86
gin_kankan,2023-05-07,4.6027,0.4305
gin_kankan,2023-05-08,3.0738,0.1554
gin_kankan,2023-05-09,6.8495,4.9121
gin_kankan,2023-05-10,5.0506,1.3313
gin_kankan,2023-05-11,6.1455,3.2503
gin_kankan,2023-05-12,6.5064,4.2374
gin_kankan,2023-05-13,6.566,5.1439
gin_kankan,2023-05-14,4.8228,2.2011
gin_kankan,2023-05-15,6.2074,3.9248
gin_kankan,2023-05-16,6.5906,4.2103
gin_kankan,2023-05-17,5.9247,3.3835
gin_kankan,2023-05-18,5.6684,3.0817
gin_kankan,2023-05-19,4.9793,1.8598
gin_kankan,2023-05-20,6.6476,4.7226
gin_kankan,2023-05-21,5.2042,2.2664
gin_kankan,2023-05-22,6.754,4.8394
gin_kankan,2023-05-23,5.2064,2.0859
gin_kankan,2023-05-24,5.8495,4.516
gin_kankan,2023-05-25,2.2013,0.3376
gin_kankan,2023-05-26,6.3611,3.4202
